Order-ASTRAL	Species	Strains	Group	Order-SVDq
123	Ente_rhinocerotis	st56	Enterovirga	105
124	Ente_sp_001	st47	Enterovirga	106
73	Meth_adhaesivum	st125	D	75
36	Meth_aerolatum	st126	A	36
103	Meth_ajmalii	st22_st123_st127_st212	C	92
20	Meth_aminovorans	st43_st48_st152_st163	B	21
93	Meth_aquaticum	st128	C	99
43	Meth_brachiatum	st2_st23_st72_st186	A	43
2	Meth_brachythecii	st55	B	2
70	Meth_bullatum	st19_st98_st112_st129_st196	D	71
29	Meth_cerastii	st130_st194_st195_st202	A	29
90	Meth_crusticola	st151	C	90
96	Meth_currus	st173	C	101
31	Meth_dankookense	st182	A	31
26	Meth_durans	st7	A	26
14	Meth_extorquens	st20_st44_st49_st153_st162_st170_st174_st175_st178	B	15
95	Meth_frigidaeris	st131	C	102
60	Meth_fujisawaense	st36_st37_st57_st189_st190_st206_st210_st211	A	59
1	Meth_gnaphalii	st160	B	1
79	Meth_goesingense	st132	D	78
74	Meth_gossipiicola	st69	D	76
34	Meth_gregans	st133	A	34
4	Meth_haplocladii	st158	B	4
35	Meth_hispanicum	st39_st134	A	35
104	Meth_indicum	st164_st165_st166_st181	C	93
63	Meth_iners	st135	D	64
86	Meth_isbiliense	st136	C	88
22	Meth_jeotgali	st137	A	22
39	Meth_komagatae	st138	A	40
56	Meth_longum	st65_st139	A	57
65	Meth_marchantiae	st140	D	66
41	Meth_mesophilicum	st141	A	41
87	Meth_nodulans	st167	C	86
92	Meth_nonmethylotrophicum	st17	C	94
5	Meth_organophilum	st142	B	5
89	Meth_oryzihabitans	st185	C	89
25	Meth_oxalidis	st159	A	25
38	Meth_persicinum	st143	A	38
54	Meth_phyllostachyos	st30	A	52
23	Meth_planium	st208	A	23
101	Meth_platani	st172	C	95
17	Meth_podarium	st154	B	17
48	Meth_pseudosasicola	st29	A	48
33	Meth_radiodurans	st11	A	33
61	Meth_radiotolerans	st34_st59_st68_st91_st150_st161_st179	A	62
18	Meth_rhodesianum	st46_st58_st149	B	19
9	Meth_rhodinum	st54	B	9
7	Meth_salsuginis	st41	B	8
27	Meth_segetis	st5	A	27
24	Meth_soli	st209	A	24
72	Meth_sp_001	st33	D	77
78	Meth_sp_002	st82	D	80
80	Meth_sp_003	st87	D	79
77	Meth_sp_004	st89	D	72
82	Meth_sp_005	st97	D	82
83	Meth_sp_006	st70_st71	D	83
75	Meth_sp_007	st95_st96_st101_st111_st114	D	74
84	Meth_sp_008	st100_st109_st115_st116_st119	D	84
81	Meth_sp_009	st102_st103	D	81
85	Meth_sp_010	st105_st191	D	85
76	Meth_sp_011	st120_st201	D	73
68	Meth_sp_012	st1	D	68
66	Meth_sp_013	st18	D	65
69	Meth_sp_014	st64	D	69
71	Meth_sp_015	st118	D	70
67	Meth_sp_016	st113_st117	D	67
64	Meth_sp_017	st99_st107_st110	D	63
30	Meth_sp_018	st61_st62_st63_st80_st90_st193_st198_st199_st204	A	30
53	Meth_sp_019	st15	A	50
55	Meth_sp_020	st60	A	49
51	Meth_sp_021	st66	A	54
49	Meth_sp_022	st76	A	55
52	Meth_sp_023	st77	A	51
44	Meth_sp_024	st79	A	47
57	Meth_sp_025	st83	A	56
45	Meth_sp_026	st86	A	46
50	Meth_sp_027	st88	A	53
62	Meth_sp_028	st3_st12_st13_st14_st28_st106_st187_st213	A	61
47	Meth_sp_029	st67_st84	A	45
46	Meth_sp_030	st73_st75	A	44
59	Meth_sp_031	st169_st188	A	60
42	Meth_sp_032	st197_st200	A	42
40	Meth_sp_033	st81	A	39
37	Meth_sp_034	st85	A	37
11	Meth_sp_035	st26	B	11
12	Meth_sp_036	st78	B	13
13	Meth_sp_037	st104	B	14
8	Meth_sp_038	st108	B	7
21	Meth_sp_039	st177	B	12
15	Meth_sp_040	st21_st176	B	16
19	Meth_sp_041	st168	B	20
98	Meth_sp_042	st4	C	103
97	Meth_sp_043	st8	C	104
88	Meth_sp_044	st16	C	87
100	Meth_sp_045	st45	C	97
6	Meth_suomiense	st94_st155	B	6
32	Meth_symbioticum	st180	A	32
58	Meth_tardum	st144	A	58
94	Meth_tarhaniae	st145	C	100
102	Meth_terrae	st9	C	96
99	Meth_terricola	st10	C	98
16	Meth_thiocyanatum	st27_st40_st50_st171_st207	B	18
3	Meth_thuringiense	st146_st203	B	3
28	Meth_trifolii	st147	A	28
91	Meth_variabile	st148	C	91
10	Meth_zatmanii	st156	B	10
108	Micr_aerophila	st53_st157	Microvirga	110
114	Micr_flocculans	st25_st52	Microvirga	116
111	Micr_guangxiensis	st42	Microvirga	112
121	Micr_lotononidis	st205	Microvirga	123
116	Micr_lupini	st24	Microvirga	117
110	Micr_makkahensis	st92	Microvirga	113
122	Micr_ossetica	st192	Microvirga	120
105	Micr_sp_001	st6	Microvirga	107
117	Micr_sp_002	st32	Microvirga	118
107	Micr_sp_003	st35	Microvirga	109
119	Micr_sp_004	st38	Microvirga	122
106	Micr_sp_005	st74	Microvirga	108
112	Micr_sp_006	st93	Microvirga	114
120	Micr_sp_007	st124	Microvirga	124
115	Micr_sp_008	st183_st184	Microvirga	119
109	Micr_subterranea	st51	Microvirga	111
118	Micr_tunisiensis	st121_st122	Microvirga	121
113	Micr_vignae	st31	Microvirga	115
