IQ-tree	Phylogenies	Strain	Clade-Leducq2021	Clade-Alessa2021	Species	Environment	Alias		
97	st98	Leaf106	A2	-	Meth_sp	Phyllosphere	-		
98	st99	Leaf108	A3	-	Meth_sp	Phyllosphere	-		
99	st100	Leaf111	A1	-	Meth_sp	Phyllosphere	-		
100	st101	Leaf112	A1	-	Meth_sp	Phyllosphere	-		
101	st102	Leaf113	A1	-	Meth_sp	Phyllosphere	-		
102	st103	Leaf117	A1	-	Meth_sp	Phyllosphere	-		
103	st104	Leaf123	B	-	Meth_sp	Phyllosphere	-		
104	st105	Leaf125	A1	-	Meth_sp	Phyllosphere	-		
105	st106	Leaf361	A9	-	Meth_sp	Phyllosphere	-		
106	st107	Leaf399	A3	-	Meth_sp	Phyllosphere	-		
107	st108	Leaf456	B	-	Meth_sp	Phyllosphere	-		
108	st109	Leaf465	A1	-	Meth_sp	Phyllosphere	-		
109	st110	Leaf466	A3	-	Meth_sp	Phyllosphere	-		
110	st111	Leaf469	A1	-	Meth_sp	Phyllosphere	-		
111	st112	Leaf85	A2	-	Meth_sp	Phyllosphere	-		
112	st113	Leaf86	A2	-	Meth_sp	Phyllosphere	-		
113	st114	Leaf87	A1	-	Meth_sp	Phyllosphere	-		
114	st115	Leaf88	A1	-	Meth_sp	Phyllosphere	-		
115	st116	Leaf89	A1	-	Meth_sp	Phyllosphere	-		
116	st117	Leaf91	A2	-	Meth_sp	Phyllosphere	-		
117	st118	Leaf93	A2	-	Meth_sp	Phyllosphere	-		
118	st119	Leaf94	A1	-	Meth_sp	Phyllosphere	-		
119	st120	Leaf99	A1	-	Meth_sp	Phyllosphere	-		
120	st121	Lmie10	-	-	Micr_tunisiensis	-	-		
121	st122	M8	-	-	Micr_sp	-	-		
122	st123	MA-22A	C	-	Meth_aquaticum	Phyllosphere	-		
123	st124	Marseille-Q2068	-	-	Micr_sp	-	-		
124	st125	DSM17169T	-	a1	Meth_adhaesivum	Anthropo/Water	-		
125	st126	DSM19013T	-	a3	Meth_aerolatum	Air	-		
126	st127	IF7SW-B2T	-	c1	Meth_ajmalii	Anthropo/Space	-		
127	st128	DSM16371T	-	c1	Meth_aquaticum	Anthropo/Water	-		
128	st129	DSM21893T	-	a1	Meth_bullatum	Phyllosphere	-		
129	st130	DSM23679T	-	a	Meth_cerastii	Phyllosphere	-		
130	st131	JCM32048T	-	c1	Meth_frigidaeris	Anthropo	IER25-16		
131	st132	DSM21331T	-	a1	Meth_goesingense	Endophyte	-		
132	st133	NBRC103626T	-	a5	Meth_gregans	Anthropo/Water	002-074,DSM19564		
133	st134	DSM16372T	-	a5	Meth_hispanicum	Anthropo/Water	-		
134	st135	DSM19015T	-	a1	Meth_iners	Air	-		
135	st136	DSM17168T	-	c2	Meth_isbiliense	Anthropo/Water	-		
136	st137	LMG23639T	-	a	Meth_jeotgali	Anthropo/Food	-		
137	st138	NBRC103627T	-	a3	Meth_komagatae	Anthropo/Water	DSM19563T		
138	st139	DSM23933T	-	a4	Meth_longum	Phyllosphere	-		
139	st140	DSM21328T	-	a1	Meth_marchantiae	Phyllosphere	-		
140	st141	NBRC15688T	-	a4	Meth_mesophilicum	Phyllosphere	-		
141	st142	NBRC15689T	-	b2	Meth_organophilum	Lake/Sediments	-		
142	st143	NBRC103628T	-	a3	Meth_persicinum	Anthropo/Water	-		
143	st144	NBRC103632T	-	a4	Meth_tardum	Anthropo/Water	DSM19566		
144	st145	DSM25844T	-	c1	Meth_tarhaniae	Soil	N4211		
145	st146	DSM23674	-	b2	Meth_thuringiense	Phyllosphere	-		
146	st147	DSM23632	-	a	Meth_trifolii	Phyllosphere	-		
147	st148	DSM16961T	-	c1	Meth_variabile	Anthropo/Water	-		
148	st149	MB200	B	-	Meth_sp	Anthropo	-		
149	st150	ME94	A9	-	Meth_radiotolerans	Endophyte	-		
150	st151	MIMD6	C	c1	Meth_crusticola	Soil	KCTC52305T		
151	st152	NBRC15686T	-	b	Meth_aminovorans	Soil	-		
152	st153	NBRC15687T	-	b	Meth_extorquens	Soil	TK0001T		
153	st154	DSM15083T	-	b	Meth_podarium	Anthropo/Skin	-		
154	st155	DSM14458T	-	b	Meth_suomiense	Soil	-		
155	st156	DSM5688T	-	b	Meth_zatmanii	Anthropo/Food	LMG6087T		
156	st157	NBRC106136	-	-	Micr_aerophila	-	-		
157	st158	NBRC107714	A4	b2	Meth_haplocladii	Phyllosphere	NBRC107714		
158	st159	NBRC107715	A5	a2	Meth_oxalidis	Phyllosphere	DSM24028T		
159	st160	NBRC107716	A4	b2	Meth_gnaphalii	Phyllosphere	DSM24027		
160	st161	NBRC15690	-	-	Meth_radiotolerans	Unknown	-		
161	st162	NBRC15911	B	-	Meth_extorquens	Anthropo	-		
162	st163	NI91	B	-	Meth_sp	Soil	-		
163	st164	NS228	C	-	Meth_indicum	Seed	-		
164	st165	NS229	C	-	Meth_indicum	Seed	-		
165	st166	NS230	C	-	Meth_indicum	Seed	-		
166	st167	ORS2060	C	c2	Meth_nodulans	Rhizhosphere	LMG21967T		
167	st168	P-1M	B	-	Meth_populi	Anthropo/Water	-		
168	st169	P1-11	A9	-	Meth_sp	Rhizhosphere	-		
169	st170	PA1	B	-	Meth_extorquens	Phyllosphere	-		
170	st171	PinkelPinkel_01	B	-	Meth_populi	Anthropo/Soil	-		
171	st172	PMB02	C	c1	Meth_platani	Phyllosphere	JCM14648T		
172	st173	PR1016A	C	c1	Meth_currus	Anthropo	JCM32670T		
173	st174	PSBB040	B	-	Meth_extorquens	Water	-		
174	st175	PSBB041	B	-	Meth_zatmanii	Water	-		
175	st176	Q1	B	-	Meth_sp	Endophyte	-		
176	st177	R2-1	B	-	Meth_sp	Unknown	-		
177	st178	RAS18	B	-	Meth_sp	Phyllosphere	-		
178	st179	RE1.2	A9	-	Meth_radiotolerans	Seed	-		
179	st180	SB0023/3	A8	-	Meth_symbioticum	Fungus	-		
180	st181	SE2.11	C	c1	Meth_indicum	Seed	JCM30761T		
181	st182	SW08-7	A8	a5	Meth_dankookense	Anthropo/Water	DSM22415T		
182	st183	SYSUG3D203	-	-	Micr_sp	-	-		
183	st184	SYSUG3D207	-	-	Micr_sp	-	-		
184	st185	TER-1	C	c	Meth_oryzihabitans	Anthropo/Water	BCRC81157T		
185	st186	TX0642	A9	a4	Meth_brachiatum	Anthropo	NBRC103629T		
186	st187	UNC300MFChir4.1	A9	-	Meth_sp	Plant	-		
187	st188	UNC378MF	A9	-	Meth_sp	Plant	-		
188	st189	UNCCL110	A9	-	Meth_sp	Plant	-		
189	st190	UNCCL125	A9	-	Meth_sp	Plant	-		
190	st191	V23	A1	-	Meth_sp	Water	-		
191	st192	V5/3m	-	-	Micr_ossetica	-	-		
192	st193	WL119	A6	-	Meth_sp	Phyllosphere	-		
193	st194	WL12	A6	-	Meth_sp	Phyllosphere	-		
194	st195	WL120	A6	-	Meth_sp	Phyllosphere	-		
195	st196	WL19	A2	-	Meth_sp	Phyllosphere	-		
196	st197	WL2	A9	-	Meth_sp	Phyllosphere	-		
197	st198	WL30	A6	-	Meth_sp	Phyllosphere	-		
