"Genomes" "Leducq2021" "Alessa2021" "Species" "NamePhylo" "NameStrains" "AvPS" "SdPS" "MinPS" "MaxPS" "-" "Air" "Anthropo" "Endophyte" "Food" "Fungus" "Lake" "Lichen" "Microbiome" "Ocean" "Phyllosphere" "Plant" "Rhizhosphere" "Sediments" "Seed" "Skin" "Soil" "Space" "Unknown" "Water"
"5" "B" "b" "Meth_populi_Meth_thiocyanatum" "st27_st40_st50_st171_st207" "BJ001;CD11_7;DSM11490;PinkelPinkel_01;YC-XJ1" "0.988727652690253" "0.00399829005415464" "0.986658516933848" "0.999935731211159" "0" "0" "0.4" "0.2" "0" "0" "0" "0" "0.2" "0" "0" "0" "0.2" "0" "0" "0" "0.2" "0" "0.2" "0"
"9" "B" "b" "Meth_extorquens_Meth_chloromethanicum_Meth_dichloromethanicum_Meth_zatmanii_Meth_sp" "st20_st44_st49_st153_st162_st170_st174_st175_st178" "AM1;CM4;DM4;NBRC15687T;NBRC15911;PA1;PSBB040;PSBB041;RAS18" "0.978526432712674" "0.00321016430479828" "0.976077767887145" "0.996798964212838" "0" "0" "0.444444444444444" "0" "0" "0" "0" "0" "0" "0" "0.222222222222222" "0" "0" "0" "0" "0" "0.222222222222222" "0" "0" "0.333333333333333"
"1" "C" "" "Meth_sp" "st4" "174MFSha1.1" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "C" "" "Meth_sp" "st8" "17Sr1-1" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0"
"1" "C" "" "Meth_sp" "st16" "4-46" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0"
"1" "C" "" "Meth_sp" "st45" "DB0501" "1" NA "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "C" "c" "Meth_oryzihabitans" "st185" "TER-1" "1" NA "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
"1" "C" "c1" "Meth_terricola" "st10" "17Sr1-39" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0"
"1" "C" "c1" "Meth_terrae" "st9" "17Sr1-28" "1" NA "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0"
"4" "C" "c1" "Meth_sp_Meth_aquaticum_Meth_ajmalii" "st22_st123_st127_st212" "ap11;MA-22A;IF7SW-B2T;yr596" "0.986613398802112" "0.0094792708428236" "0.9780590600305" "0.999682058032776" "0" "0" "0.25" "0" "0" "0" "0" "0" "0" "0" "0.25" "0" "0.5" "0" "0" "0" "0" "0.25" "0" "0"
"1" "C" "c1" "Meth_platani" "st172" "PMB02" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "C" "c1" "Meth_nonmethylotrophicum" "st17" "6HR-1" "1" NA "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0"
"4" "C" "c1" "Meth_indicum" "st164_st165_st166_st181" "NS228;NS229;NS230;SE2.11" "0.995755596884242" "0.00455337252849293" "0.991279375595331" "0.999994257856688" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0"
"1" "C" "c1" "Meth_currus" "st173" "PR1016A" "1" NA "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "C" "c1" "Meth_crusticola" "st151" "MIMD6" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0"
"1" "C" "c2" "Meth_nodulans" "st167" "ORS2060" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0"
